# tool	category	prompt
browser_close	required	You are testing the mcp-accessibility-scanner MCP tool browser_close. Use mcp-accessibility-scanner. First navigate to data:text/html,%3Ctitle%3EClose%3C/title%3E%3Ch1%3EClose%20target%3C/h1%3E, then call browser_close. Return only PASS: browser_close completed, or FAIL: with the exact error.
browser_resize	required	You are testing the mcp-accessibility-scanner MCP tool browser_resize. Use mcp-accessibility-scanner. Navigate to data:text/html,%3Ctitle%3EResize%3C/title%3E%3Ch1%3EResize%3C/h1%3E, call browser_resize with width 640 and height 480, then run browser_evaluate with function "() => ({ width: window.innerWidth, height: window.innerHeight })". Return only PASS if the evaluation returns positive width and height near 640x480, otherwise FAIL with the observed result.
browser_console_messages	required	You are testing the mcp-accessibility-scanner MCP tool browser_console_messages. Use mcp-accessibility-scanner. Navigate to data:text/html,%3Ctitle%3EConsole%3C/title%3E%3Cscript%3Econsole.log('mcp-console-ok')%3C/script%3E%3Ch1%3EConsole%3C/h1%3E, then call browser_console_messages. Return only PASS if the output contains mcp-console-ok, otherwise FAIL with the observed output.
browser_handle_dialog	required	You are testing the mcp-accessibility-scanner MCP tool browser_handle_dialog. Use mcp-accessibility-scanner. Navigate to data:text/html,%3Ctitle%3EDialog%3C/title%3E%3Cbutton%20onclick%3D%22alert('mcp-dialog-ok')%22%3EOpen%20dialog%3C/button%3E, take a browser_snapshot, click the Open dialog button, then call browser_handle_dialog with accept true. Return only PASS if browser_handle_dialog completes, otherwise FAIL with the exact error.
browser_evaluate	required	You are testing the mcp-accessibility-scanner MCP tool browser_evaluate. Use mcp-accessibility-scanner. Navigate to data:text/html,%3Ctitle%3EEvaluate%3C/title%3E%3Ch1%20id%3D%22answer%22%3EOK%3C/h1%3E, then call browser_evaluate with function "() => 2 + 2". Return only PASS if the exact result is 4, otherwise FAIL with the observed result.
browser_file_upload	required	You are testing the mcp-accessibility-scanner MCP tool browser_file_upload. Use mcp-accessibility-scanner. Navigate to data:text/html,%3Ctitle%3EUpload%3C/title%3E%3Clabel%3EUpload%20%3Cinput%20type%3D%22file%22%20aria-label%3D%22Upload%22%20onchange%3D%22document.body.dataset.file%3Dthis.files%5B0%5D.name%22%3E%3C/label%3E, take a browser_snapshot, click the Upload file input to open the file chooser, then call browser_file_upload with paths ["__UPLOAD_FILE__"]. After upload, call browser_evaluate with function "() => document.body.dataset.file". Return only PASS if the result is mcp-upload.txt, otherwise FAIL with the observed result.
browser_fill_form	required	You are testing the mcp-accessibility-scanner MCP tool browser_fill_form. Use mcp-accessibility-scanner. Navigate to data:text/html,%3Ctitle%3EForm%3C/title%3E%3Clabel%3EName%20%3Cinput%20aria-label%3D%22Name%22%3E%3C/label%3E%3Clabel%3E%3Cinput%20type%3D%22checkbox%22%20aria-label%3D%22Subscribe%22%3ESubscribe%3C/label%3E%3Cselect%20aria-label%3D%22Choice%22%3E%3Coption%3EOne%3C/option%3E%3Coption%3ETwo%3C/option%3E%3C/select%3E, take a browser_snapshot, then call browser_fill_form to set Name to Ada, Subscribe to true, and Choice to Two. Then call browser_evaluate with function "() => ({ name: document.querySelector('input[aria-label=Name]').value, subscribed: document.querySelector('input[aria-label=Subscribe]').checked, choice: document.querySelector('select').value })". Return only PASS if name is Ada, subscribed is true, and choice is Two, otherwise FAIL with the observed result.
browser_install	optional	You are testing the mcp-accessibility-scanner MCP tool browser_install. Use mcp-accessibility-scanner. Call browser_install once. Return only PASS if it completes successfully or reports the browser is already installed, otherwise FAIL with the exact error. Do not run any other browser action unless needed by Claude Code to initialize the MCP server.
browser_press_key	required	You are testing the mcp-accessibility-scanner MCP tool browser_press_key. Use mcp-accessibility-scanner. Navigate to data:text/html,%3Ctitle%3EPress%3C/title%3E%3Cinput%20aria-label%3D%22Key%20target%22%20autofocus%20onkeydown%3D%22document.body.dataset.key%3Devent.key%22%3E, then call browser_press_key with key "A". After that, call browser_evaluate with function "() => document.body.dataset.key". Return only PASS if the result is A or a, otherwise FAIL with the observed result.
browser_type	required	You are testing the mcp-accessibility-scanner MCP tool browser_type. Use mcp-accessibility-scanner. Navigate to data:text/html,%3Ctitle%3EType%3C/title%3E%3Clabel%3EMessage%20%3Cinput%20aria-label%3D%22Message%22%3E%3C/label%3E, take a browser_snapshot, then call browser_type on the Message input with text "typed text". Then call browser_evaluate with function "() => document.querySelector('input').value". Return only PASS if the result is typed text, otherwise FAIL with the observed result.
